gain_db,LNA,MIX,VGA,signal_db,noise_db,snr_db,input_dbm,raw_signal_db,raw_noise_db,adc_min,adc_max,threshold_percent,mds_db,max_signal_db,dynamic_range_db
8.42,0,1,0,-57.69,-65.64,7.95,-66.11,-57.69,-65.65,-6,8,0.0,-71.06,-6.38,64.68
11.54,1,1,0,-57.54,-65.45,7.91,-69.08,-57.54,-65.58,-7,8,0.0,-73.99,-9.50,64.49
14.32,0,3,1,-54.76,-65.42,10.66,-69.08,-54.76,-65.55,-10,6,0.0,-76.74,-12.28,64.46
17.62,0,7,0,-48.49,-65.55,17.06,-66.11,-48.49,-65.56,-10,11,0.0,-80.17,-15.58,64.59
20.48,0,9,0,-45.63,-65.49,19.86,-66.11,-45.63,-65.5,-12,13,0.0,-82.97,-18.44,64.53
23.61,1,9,0,-45.47,-65.28,19.81,-69.08,-45.47,-65.41,-13,14,0.0,-85.89,-21.57,64.32
26.39,1,11,0,-42.69,-65.09,22.40,-69.08,-42.69,-65.22,-16,16,0.0,-88.48,-24.35,64.13
29.50,6,4,0,-51.45,-64.56,13.11,-80.95,-51.45,-64.76,-9,8,0.0,-91.06,-27.46,63.60
32.51,8,2,0,-54.30,-63.84,9.54,-86.81,-54.3,-64.02,-8,8,0.0,-93.35,-30.47,62.88
35.57,8,4,0,-51.24,-62.73,11.49,-86.81,-51.24,-62.91,-10,10,0.0,-95.30,-33.53,61.77
38.09,6,10,0,-42.86,-61.70,18.84,-80.95,-42.86,-61.9,-17,17,0.0,-96.79,-36.05,60.74
40.67,6,15,0,-40.28,-60.10,19.82,-80.95,-40.28,-60.3,-23,22,0.0,-97.77,-38.63,59.14
43.57,7,14,0,-40.50,-57.88,17.38,-84.07,-40.5,-58.08,-24,23,0.0,-98.45,-41.53,56.92
46.74,8,15,0,-40.07,-55.07,15.00,-86.81,-40.07,-55.25,-29,29,0.0,-98.81,-44.70,54.11
48.88,10,15,0,-37.93,-53.05,15.12,-86.81,-37.93,-53.23,-38,34,0.0,-98.93,-46.84,52.09
53.63,3,7,8,-36.11,-48.50,12.39,-89.74,-36.11,-48.69,-58,48,0.0,-99.13,-51.59,47.54
56.47,3,9,8,-33.27,-46.01,12.74,-89.74,-33.27,-46.2,-79,69,0.0,-99.48,-54.43,45.05
59.23,3,11,8,-30.51,-43.44,12.93,-89.74,-30.51,-43.63,-99,91,0.0,-99.67,-57.19,42.48
62.34,4,14,8,-30.30,-40.56,10.26,-92.64,-30.3,-40.71,-132,108,0.0,-99.90,-60.30,39.60
64.07,5,13,8,-28.57,-38.89,10.32,-92.64,-28.57,-39.04,-138,135,0.0,-99.96,-62.03,37.93
67.10,6,14,8,-25.54,-35.87,10.33,-92.64,-25.54,-36.02,-205,190,0.0,-99.97,-65.06,34.91
70.12,7,14,8,-25.45,-32.88,7.43,-95.57,-25.45,-33.04,-249,240,0.0,-100.00,-68.08,31.92
73.87,6,12,10,-18.77,-29.15,10.38,-92.64,-18.77,-29.3,-429,455,0.0,-100.02,-71.83,28.19
77.38,4,5,15,-15.26,-26.01,10.75,-92.64,-15.26,-26.16,-643,596,0.0,-100.39,-75.34,25.05
80.27,4,7,15,-12.37,-23.45,11.08,-92.64,-12.37,-23.6,-841,859,0.0,-100.72,-78.23,22.49
83.12,4,9,15,-9.52,-20.73,11.21,-92.64,-9.52,-20.88,-1129,1217,0.01,-100.85,-81.08,19.77
85.91,4,11,15,-6.73,-18.04,11.31,-92.64,-6.73,-18.19,-1635,1660,2.55,-100.95,-83.87,17.08
88.87,5,15,15,-6.70,-15.19,8.49,-95.57,-6.7,-15.35,-1939,1992,6.0,-101.06,-86.83,14.23
91.88,6,12,15,-3.69,-12.17,8.48,-95.57,-3.69,-12.33,-2048,2038,26.75,-101.05,-89.84,11.21
95.33,9,9,15,-0.24,-9.05,8.81,-95.57,-0.24,-9.21,-2048,2041,53.76,-101.38,-93.29,8.09
97.54,9,12,15,1.97,-7.64,9.61,-95.57,1.97,-7.8,-2048,2045,72.18,-102.18,-95.50,6.68
